id,name,code,slug,province_id:id,country_id,type
res_ward_00004,Phường Ba Đình,VN-01-00004,"Phường Ba Đình, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00008,Phường Ngọc Hà,VN-01-00008,"Phường Ngọc Hà, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00025,Phường Giảng Võ,VN-01-00025,"Phường Giảng Võ, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00070,Phường Hoàn Kiếm,VN-01-00070,"Phường Hoàn Kiếm, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00082,Phường Cửa Nam,VN-01-00082,"Phường Cửa Nam, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00091,Phường Phú Thượng,VN-01-00091,"Phường Phú Thượng, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00097,Phường Hồng Hà,VN-01-00097,"Phường Hồng Hà, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00103,Phường Tây Hồ,VN-01-00103,"Phường Tây Hồ, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00118,Phường Bồ Đề,VN-01-00118,"Phường Bồ Đề, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00127,Phường Việt Hưng,VN-01-00127,"Phường Việt Hưng, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00136,Phường Phúc Lợi,VN-01-00136,"Phường Phúc Lợi, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00145,Phường Long Biên,VN-01-00145,"Phường Long Biên, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00160,Phường Nghĩa Đô,VN-01-00160,"Phường Nghĩa Đô, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00166,Phường Cầu Giấy,VN-01-00166,"Phường Cầu Giấy, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00175,Phường Yên Hòa,VN-01-00175,"Phường Yên Hòa, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00190,Phường Ô Chợ Dừa,VN-01-00190,"Phường Ô Chợ Dừa, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00199,Phường Láng,VN-01-00199,"Phường Láng, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00226,Phường Văn Miếu - Quốc Tử Giám,VN-01-00226,"Phường Văn Miếu - Quốc Tử Giám, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00229,Phường Kim Liên,VN-01-00229,"Phường Kim Liên, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00235,Phường Đống Đa,VN-01-00235,"Phường Đống Đa, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00256,Phường Hai Bà Trưng,VN-01-00256,"Phường Hai Bà Trưng, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00283,Phường Vĩnh Tuy,VN-01-00283,"Phường Vĩnh Tuy, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00292,Phường Bạch Mai,VN-01-00292,"Phường Bạch Mai, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00301,Phường Vĩnh Hưng,VN-01-00301,"Phường Vĩnh Hưng, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00316,Phường Định Công,VN-01-00316,"Phường Định Công, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00322,Phường Tương Mai,VN-01-00322,"Phường Tương Mai, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00328,Phường Lĩnh Nam,VN-01-00328,"Phường Lĩnh Nam, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00331,Phường Hoàng Mai,VN-01-00331,"Phường Hoàng Mai, Thành phố Hà Nội",province_vn_01,VN,0
res_ward_00337,Phường Hoàng Liệt,VN-01-00337,"Phường Hoàng Liệt, Thành phố Hà Nội",province_vn_01,VN,0
